Entity1,Relationship,Entity2
possible loss of revenue,of,departing passenger taxes
departing passenger taxes,requires attention from,airport management
ITF,reviewed,conventional check-in procedures
conventional check-in procedures,at,Pristina airport
Pristina airport,confirmed,observations
senior official,of,Pristina airport
senior official,in response to,management letter
management letter,dated,May-04
management letter,on,2003 financial audit
auditing company,provided,advice
advice,states,passenger fees observation
entity,acquired,automatic checking system
automatic checking system,provides,evidence of passengers arriving and departure
PA,not integrated,automatic checking system
establishment,of,integrated system
integrated system,could provide,efficient monitoring controls
integrated system,could provide,accurate evidence completeness
integrated system,could provide,reconciliation of passenger recorded
passenger recorded,by,automatic checking system
passenger recorded,and,revenue from passenger fees
revenue from passenger fees,in,financial statement
investigators,asked,official of the passenger handling services pristina airport
official of the passenger handling services pristina airport,described,airport tax obligations
tax,is payable in respect of,departing passengers
tax,is collected by,airlines
airlines,use,checkin facilities
checkin facilities,are part of,normal boarding procedures
security guards,remained,airside
uk immigration staff,remained,airside
security guards,awaiting return to,uk
security guards,had not technically entered,airport
uk immigration staff,had not technically entered,airport
security guards,are not liable for,airport taxes
uk immigration staff,are not liable for,airport taxes
official,said,no obligation for the payment of this tax
carrier,did not use,regular checkin facilities
passengers,did not use,regular checkin facilities
passengers,departing with,airline
passengers,met in,airport public lounge
identities,checked against,list
list,provided by,unmik civpol officer
unmik civpol officer,in consultation with,immigration representative
passengers,went through,conventional immigration
passengers,went through,xray searches
passengers,were escorted into,departure lounge
passengers,boarding,airline aircraft
passengers,did not pass through,regular checkin procedures
itf investigators,reviewed,all paperwork relating to this flight
official,provided,receipt book
receipt book,used to evidence,cash payments
cash payments,for,landing handling and airport passenger taxes
other airlines,pay in,cash for handling services
details,shown on,records provided by pristina airport officials
records provided by pristina airport officials,were reconciled with,receipt book
dates,confirmed,amounts and breakdown of charges
pilot,is required to sign,receipt book
itf,verified,recorded signature
recorded signature,against,airline load sheets
airline official 1,explained,airline
airline,paid,pristina airport passenger handling services department
airline official 1,endeavored to open,credit account with pristina airport
itf,sought assistance of,security officer at pristina airport
itf investigators,monitored,airlines inward and outward flights
itf investigators,monitored,related airport activities
kosovar passengers,went through,immigration procedures
security escorts,remained,airside
representative of the related immigration department,remained,airside
security escorts,awaited instructions to return to,aircraft
security escorts,did not enter,terminal building
itf investigators,obtained,documents
documents,from,pristina airport officials
pristina airport officials,including,records of funds
funds,received from,the airline
funds,for the period,january to june 2004
funds,broken down into,handling
funds,broken down into,landing
funds,broken down into,airport passenger
funds,broken down into,departure tax
schedule,lists,individual airport receipt number
individual airport receipt number,recorded for,each cash payment
airline,having paid,airport tax
itf investigators,spoke to,official 1
itf investigators,spoke to,official 2
itf investigators,requested,copies of receipts
receipts,issued by,pristina airport
receipts,in respect of,fees paid by the airline
airline,to,the airport
documents,record,details
documents,such as,weight of the aircraft
aircraft,including,mtow maximum take off weight
itf investigators,requested,aircraft load sheets
aircraft load sheets,for,may and june 2004
the airline,flies to,pristina airport
the airline,flies from,a european airport
the airline,carries,kosovar passengers
the airline,is contracted with,the foreign states immigration department
the foreign states immigration department,has,a representative
the airline,escorts,the passengers
the airline flight,carries,passengers from pristina
the airline flight,consists of,the returning securicor escorts
the airline flight,consists of,the representative of immigration
the airline flight,consists of,a number of police officers
the police officers,are working for,unmik civpol
the civpol officers,travel to,the uk
the civpol officers,travel without,payment
the civpol officers,travel with,the knowledge and approval of the airline
the civpol officers,travel with,the knowledge and approval of the uk immigration department
itf investigators,visited,border boundary police
itf investigators,interviewed,two current investigators
two current investigators,recalled,the incident
they,made,extensive enquiries
they,attempted to trace,the police report
they,attempted to locate,the 5200
itf,sent,a letter to unmik police officer 2
unmik police officer 2,indicated,regional crime squad pristina region
regional crime squad pristina region,was undertaking,an investigation
investigation,remains,an open investigation
peap official,suggests,escavator
escavator,is,company 1
company 1,won,contract for the construction of the new car park
new car park,at,pristina airport
representative,attended,meeting in the peap officials office
meeting,one day prior to,discovery of the money
money,is,sum of 5200
sum of 5200,is unusual since,one would expect the sum to have been a round sum such as 5000
interoffice memorandum,from,former airport engineer
former airport engineer,to,kta procurement specialist
interoffice memorandum,dated,26-Sep-02
interoffice memorandum,alleged,peap official
peap official,had accepted,open envelope of documents
open envelope of documents,relating to,car park tender
car park tender,from,company 2
submission of bids,had concluded,contrary to accepted procurement procedures
allegation,is addressed in,itf case no 027404
divisional manager,alleged,unidentified individual
unidentified individual,left,envelope containing 5200
envelope containing 5200,was left in,office of an official of public enterprise airport pristina peap
group of approximately 8 persons,attended,meeting in his office
meeting in his office,concerned,procurement contract for the building of a new car park at pristina international airport
kta procurement specialist,was part of,group of approximately 8 persons
company 1 representative,was part of,group of approximately 8 persons
this case,concerns,allegation of attempted bribery and corruption
allegation of attempted bribery and corruption,is cited in,article 344 of the provisional criminal code of kosovo
applicable territorial laws,are related to,united nations procedural rules
divisional manager,advised,itf
divisional manager,provided,itf
itf,had,incident
incident,occurred,Oct-02
divisional manager,thought,itf
itf,could not locate,evidence of report
itf,could not recall,members
divisional manager,provided,copy of documents
documents,passed to,unmik police officer
unmik police officer,dated,11-Oct-02
documents,consist of,letter from divisional manager
letter from divisional manager,dated,11-Oct-02
file note,dated,8-Oct-02
file note,to,divisional manager
file note,detailing,incident
file note,annexing,list of serial numbers
list of serial numbers,totalling,5200
serial numbers,alleged to have been left in,peap official's diary
peap official,in,his office
kta procurement specialist,indicated,peap officials office
kta procurement specialist,indicated,diary
kta procurement specialist,heard about,incident
kta procurement specialist,expressed opinion,incident
incident,arranged to break up,contract with company 1
itf,reviewed,letter from divisional manager
letter from divisional manager,indicates,unmik police officer
letter from divisional manager,records,sum of 5200
sum of 5200,handed to,unmik police officer
unmik police officer,told,itf
unmik police officer,served in,kosovo
unmik police officer,recalls,incident
unmik police officer,was serving with,border police investigations unit
border police investigations unit,assigned,enquiry to supervisor
supervisor,was unable to be interviewed,mission
kta procurement specialist,told,itf
meeting,held in,peap officials office
company 1,attended by,company 1 representative
company 1,attended by,company 1 engineer
purpose of the meeting,to hand,contract for the new car park
contract for the new car park,to,company 1
company 1 representative,to sign,contract for the new car park
kta procurement specialist,indicated,three or four other persons
two of whom,may be,two staff members of pristina airport
kta procurement specialist,added,normal practice for the party winning the bid
party winning the bid,to be invited to,sign the contract
investigation,conducted pursuant to,executive decision no 200316
executive decision no 200316,established,investigation task force
itf investigators,conducted,enquiry
enquiry,into,allegations
allegations,raised by,interviews
interviews,with,persons indicated to be witnesses
interviews,with,persons potentially implicated
documents,obtained from,pristina airport administration
documents,obtained from,pillar iv
pristina international airport,constitutes,state owned enterprise
state owned enterprise,under,yugoslavian law
assets,include,runways
assets,include,terminal buildings
assets,include,hanger
assets,include,fuel storage facilities
assets,include,equipment
public enterprise airport pristina,maintained by,military units of the kosovo force
military units of the kosovo force,pursuant to,united nations security council resolution 1244
united nations security council resolution 1244,dated,10-Jun-99
unmik regulation no 11999,dated,25-Jul-99
unmik,mandated to administer,territory of kosovo
unmik,includes,state owned and publicly owned assets
state owned and publicly owned assets,includes,pristina international airport
administration of the pristina airport,was entrusted to,civil administration pillar
civil administration pillar,supervised,department of transport and infrastructure
department of transport and infrastructure,was later known as,transport sector of the unmik directorate of infrastructure affairs
doti official 1,left,unmik
doti official 2,was recruited by,doti
doti official 2,was in charge of,airport operations
airport operations,reporting to,doti official 1
doti official 2,continued in this role until,30-Sep-01
engineering expertise,was provided by,series of engineers
series of engineers,seconded from,member states armed forces
responsibility for the administration of the airport,passed from,pillar ii
responsibility for the administration of the airport,passed to,kosovo trust agency
kosovo trust agency,and,pillar iv
divisional manager,was appointed at,airport sector kta
divisional manager,under,peap official
divisional manager,under,air traffic control services
pristina international airport,was handed over to,civilian jurisdiction
civilian jurisdiction,under,icao regulations
itf,referral,department of justice
department of justice,issued,arrest warrants
arrest warrants,against,official 1
arrest warrants,against,official 2
official 1,acting as,officials of airport pristina
official 2,acting as,officials of airport pristina
official 1,complicity with,official 2
official 1,presented,representative of the company
official 1,claimed,false statement of account
official 2,claimed,false statement of account
false statement of account,claimed,reduced storage fees
authorized person,misled by,official 1
authorized person,misled by,official 2
official 1,committed,offence of fraud in service
official 2,committed,offence of fraud in service
offence of fraud in service,in violation of,article 215 1 and 2 of the kosovo criminal code
offence of fraud in service,punishable by,imprisonment of one to ten years
offence of fraud in service,equivalent to,fraud in office
fraud in office,contrary to,article 341 1 and 2 of provisional kosovo criminal code
official 1,complicity in violation of,article 22 of criminal code of sfry
official 2,complicity in violation of,article 22 of criminal code of sfry
co perpetration,in violation of,pcck article 23
partner 1,paid,the company representative
the company representative,went to,pristina airport
the company representative,handed it to,official 1
the handover of the cash,took place outside,the airport terminal gate
the airport xray operator,observed,the meeting between the two men
itf investigators,visited,the cargo department finance office
itf investigators,checked,official documentation
the company,should have paid,approximately 3200000
the payment of the 8000,could not be found in,the cargo department account books
the finance officer of the cargo section,provided,the tariff list
itf investigators,met with,company representative
company representative,explained,part of his business
company,consists of,partner 1
company,consists of,partner 2
company,consists of,partner 3
company,consists of,partner 4
partner 2,was to pay,total price of all the goods
partner 3,was to pay,total price of all the goods
partner 1,was to pay,everything regarding vat custom duties local taxes and storage
official 2,was responsible for,ensuring that storage fees were paid
official 2,was responsible for,keeping a record of the payments
airway bill,should have been provided to,finance officer
finance officer,calculates,storage fees owed
individuals or companies,were allowed to retrieve,their goods
fee,had to be paid pursuant to,official invoice
absence of such a record,is,highly unusual
absence of such a record,establishes,monies owed to the airport were not received
official 1,worked in,cargo handling office at the airport
official 1,ensured that,all payments made by customers complied with regulations
official 2,worked in,cargo handling office at the airport
special representative of the secretarygeneral,given authority by,united nations security council resolution 1244 1999
united nations security council resolution 1244 1999,issued on,10-Jun-99
united nations interim administration mission in kosovo,related to,unmik regulation no 19991
unmik regulation no 19991,issued on,25-Jul-99
interim administration in kosovo,defined by,the law applicable in kosovo
srsg,promulgated,the law applicable in kosovo
the law applicable in kosovo,includes,regulations promulgated by the special representative of the secretarygeneral
the law applicable in kosovo,includes,subsidiary instruments issued thereunder
the law in force in kosovo,was on,22-Mar-89
itf investigators,considered breaches of,provisional criminal code of kosovo
provisional criminal code of kosovo,includes,article 339
article 339,concerns,abusing official position of authority
provisional criminal code of kosovo,includes,article 340
article 340,concerns,misappropriation in office
provisional criminal code of kosovo,includes,article 341
article 341,concerns,fraud in office
investigation task force,conducted,investigation
investigation,surrounds,unmik bank account
unmik bank account,opened at,bank in pristina
investigation,triggered by,forensic audit report
forensic audit report,of,public enterprise airport pristina
public enterprise airport pristina,released by,chartered accountants
activities of the pristina airport,fall under the control of,kosovo trust agency
activities of the pristina airport,fall under the control of,unmik pillar iv
unmik pillar iv,administered by,european union
investigations,into,allegations of fraud and corruption
allegations of fraud and corruption,involving,unmik
unmik,involves,its pillars
unmik,involves,other organisational structures
unmik,involves,provisional institutions of selfgovernment
provisional institutions of selfgovernment,are,pisg
independent bodies and offices,established pursuant to,constitutional framework for provisional selfgovernment
constitutional framework for provisional selfgovernment,in,kosovo
investigation task force,falls within the purview of,itf
itf,laid out by,executive decision on the establishment of the investigation task force
executive decision on the establishment of the investigation task force,dated,21-Oct-03
dcdm audit report 20023,highlighted,possible problem with unmik bank account
unmik bank account,termed,company account
company account,alleged,only one signatory
only one signatory,is,staff member 1
interest from this account,was going to,unidentified private account
itf investigators,established,contract relating to supply of aviation fuel
unmik,signed,contract
company,signed,contract
contract,relates to,supply of aviation fuel
contract,relates to,refueling of commercial civilian aircraft
contract,was amended,3-Mar-04
company,commenced supplying,aviation fuel
company,commenced supplying,refueling services to military and noncommercial aircraft
contract,includes,military and noncommercial aircraft
senior official 1 unmil,allegations of conflict of interest and abuse of authority,united nations mission in liberia srsg unmil
investigations division of the office of internal oversight services idoios,received information,senior official for the united nations mission in liberia srsg unmil
senior official for the united nations mission in liberia srsg unmil,was involved in business dealings with,businessman operating in liberia
senior official for the united nations mission in liberia srsg unmil,abused his authority,unmil
idoios investigation,found no evidence,senior official was involved in business dealings with the businessman
idoios investigation,found no evidence,he had abused his authority to the benefit of either himself or of the businessman
unmil,established on,19-Sep-03
unmil,established by,security council resolution 1509
officer 1,responsible for establishing,unmil fuel cell
officer 1,served with,mission des nations unies au république démocratique de congo monuc
unmil fuel cell,consisted of,officer 1
unmil fuel cell,consisted of,20 other staff members
20 other staff members,included,four international staff
20 other staff members,included,remainder national staff
officer 1,left,unmil
officer 1,left,the united nations
officer 1,left on,30-Jun-04
officer 2,took over,the post
officer 2,took over on,8-Jul-04
audit of fuel management,conducted by,iad1oios
audit of fuel management,reference,ap200462605
investigations division of the office of internal oversight services,received,request from unon official 1
unon official 1,inquire into,allegations
unon official 1,submitted,report to unon management
unon management,concerned about,fraudulent scheme
locally recruited united nations office at nairobi,engaged in,improper conduct
locally recruited united nations office at nairobi,submitted,fraudulent letters of appointments
fraudulent letters of appointments,showing,longer contract duration dates
fraudulent letters of appointments,to obtain,loans from the united nations cooperative savings and credit society limited
united nations cooperative savings and credit society limited,operates within,unon premises
unon official 2,submitted,report to unon management
locally recruited staff members from the nairobi-based united nations children's fund somalia support centre,obtained,unsacco loans
unsacco loans,by submitting,fraudulent letters of appointments
unon management,worried about,fraudulent scheme spreading to unon
unon management,worried about,fraudulent scheme spreading to other nairobi based united nations agencies
request,prompted by,report
report,submitted to,unon management
unon official 2,submitted to,unon management
staff members,recruited from,unicefsomalia support centre
unicefsomalia,obtained,unsacco loans
staff members,submitted,fraudulent letters of appointments
fraudulent letters of appointments,to,unsacco
unon management,concerned about,fraudulent scheme
fraudulent scheme,might have spread to,unon
fraudulent scheme,might have spread to,other united nations agencies
idoios investigators,were on mission to,nairobi
idoios investigators,directed by,idoios management
idoios management,directed,idoios investigators
idoios investigators,look into,this matter
report,presents,findings of the preliminary idoios investigation
report,together with,recommendations for appropriate action
recommendations,for,unon management
idoios,could not interview,unicef staff
idoios,could not interview,former staff
one staff member,passed away,
another,declined,the interview
unicef inquiry,was not final,
information,obtained through,interviews of unicef staff
unicef staff,suggested,more unicef staff involved
unicef staff,confirmed,misused unicef letterhead
unicef staff,indicated,forged the signature of a unicef operations officer
unicef staff,provided,unsacco with incorrect information
unicef staff,mentioned,ease with which they accessed official unicef stamps
unicef staff,mentioned,ease with which they accessed stationeries
unicef staff,mentioned,ease with which they accessed computers
drivers,should not have occurred,access
most interviewees,stated,they acted alone
all interviewees,denied,unicef colleagues assisted them
all interviewees,denied,unon colleagues assisted them
unicef colleagues,had been,aware of fraudulent activities
unicef colleagues,had been,involved in improper actions
idoios investigators,noted,apparent irregularities
idoios officers,made copies of,those documents
idoios officers,compared,corresponding documentation
idoios officers,confirmed with,unon officials
unon officials,signed,those letters
senior unep manager,informed,unsacco management
senior unep manager,admitted,she had written a letter
staff member,requested,the letter
letters,provided to,unsacco
locally recruited staff,can obtain,loans
idoios,cautions,managers
issuance of letters,may give,impression
staff member,contract will be,renewed
unsacco,interviews with,idonios investigators
unon staff members,interviewed by,idonios investigators
unon staff members,provided information about,operations
unon staff members,cooperated with,idonios inquiry
unon staff members,provided access to,files
documentation,obtained from,unsacco
staff members,requested and obtained,unsacco loans
unon staff,are,staff members
idoios investigators,decided to do,thorough review
files,were selected for review where,loan amount was high
files,were selected for review where,duration of the contract long
files,were selected for review where,applicant was also a guarantor
administrative officer,requested,copy of the appointment letter
appointment letter,was,fraudulent
expiration of the contract,was,FALSE
signature,was,forged
unicef operations officer,named in,the letter
unsacco managers,inquired,unicefsomalia management
unicefsomalia management,started,an inquiry
unicefsomalia staff members,had obtained,improper loans
unicefsomalia,has,approximately 20 staff members
results of this inquiry,were described in,a report
report,was on,the preliminary investigation
case,was of,fraudulent signatures
case,was of,use of office stationary
case,was of,official seal
unicef somalia nairobi,dated,11-Feb-05
report,included,copies of the false letters of appointment
report,included,written statements of several locally recruited unicef staff
locally recruited unicef staff,admitted,improper conduct
staff member,required to complete,loan application
staff member,required to complete,loan agreement form
staff member,required to complete,instant loan facility application
staff member,required to attach,latest payslip
staff member,required to attach,national identification card
staff member,required to attach,passport
staff member,required to attach,letter of contract
letter of contract,required to ensure,valid contract
valid contract,covers,agreed period of time
longer contract,permits,repayment in lesser amounts
applicant,must provide,guarantors
guarantors,must be,un sacco members
applications for loans,are reviewed by,unsacco staff
applications for loans,are reviewed by,credit committee
credit committee,approve,application
credit committee,defer,application
credit committee,reject,application
idoios,recommends,unon
unon,takes action against,unonits staff member id rec no iv0357501
unon,takes corrective measures,unonits staff member refund the money she collected from unpos id rec no iv0357502
unon,instructs,unpos administration
unon,issues advice to,staff
unon,issues advice to,unonbased agencies
unon administration,shares findings with,representative of the secretary general unpos
ununits staff member,intended to use,expensive equipment
expensive equipment,from,unun workshop
ununits staff member,did not receive permission from,hisher supervisor
ununits staff member,arrangement with,unpos
unun official,learned of,these arrangements
unun official,told,ununits staff member
equipment,could not be used by,unpos
request for extension of the satellite link,must go through,proper channels
unpos,did not receive,extension of its satellite link
ununits staff member,did not return,money paid to himher
ununits staff member,undertook to extend,satellite link to the rsg residence
ununits staff member,received,money for said undertaking
ununits staff member,failed to provide,satellite link
ununits staff member,refused to return,money paid to himher
ununits staff member,acted contrary to,obligations under staff regulation 12
ununits staff member,acted contrary to,obligations under financial regulations and rules of the united nations
financial regulations and rules of the united nations,are defined by,stsgb20037 regulation 512
investigation,conducted pursuant to,executive decision no 200316
executive decision no 200316,established,investigation task force
itf investigators,conducted,enquiry
enquiry,into,allegations
allegations,raised by,interviews
interviews,with,persons indicated to be witnesses
interviews,with,persons potentially implicated
documents,obtained from,pristina airport administration
documents,obtained from,pillar iv
pristina international airport,constitutes,state owned enterprise
state owned enterprise,under,yugoslavian law
assets of the airport,include,runways
assets of the airport,include,terminal buildings
assets of the airport,include,hanger
assets of the airport,include,fuel storage facilities
assets of the airport,include,equipment
public enterprise airport pristina,maintained by,military units of the kosovo force
military units of the kosovo force,pursuant to,united nations security council resolution 1244
united nations security council resolution 1244,dated,10-Jun-99
unmik regulation no 11999,dated,25-Jul-99
unmik,mandated to administer,territory of kosovo
unmik,includes,state owned and publicly owned assets
responsibility for the administration of the pristina airport,entrusted to,civil administration pillar
civil administration pillar,supervised,department of transport and infrastructure
department of transport and infrastructure,was known as,transport sector of the unmik directorate of infrastructure affairs
doti official 1,left,unmik
doti official 2,was recruited by,doti
doti official 2,was in charge of,airport operations
airport operations,reporting to,doti official 1
doti official 2,continued in this role until,30-Sep-01
engineering expertise,was provided by,engineers seconded from the armed forces
engineers,specifically,airport engineer 1
engineers,specifically,airport engineer 2
engineers,specifically,airport engineer 3
responsibility for the administration of the airport,passed from,pillar ii
responsibility for the administration of the airport,passed to,kosovo trust agency
kosovo trust agency,and,pillar iv
divisional manager,was appointed to,airport sector kta
divisional manager,had under him,peap official
divisional manager,had under him,air traffic control services
air traffic control services,official,atcs official 1
pristina international airport,was handed over to,civilian jurisdiction
civilian jurisdiction,under,icao regulations
dpko communications and technology services division,sought to obtain,new systems contract for laptop computers
mr cabrera,was,procurement officer
procurement department,assigned to,this matter
chief of cits,communicated his request to,pd
pd,issued,expression of interest
pd,transmitted,invitation to bid
invitation to bid,was sent to,36 vendors
36 vendors,are from,nine countries
cits,advised,pd
cits,desired,ibm
cits,desired,dell
cits,desired,compaq
itsd,recommended adding,toshiba
itsd,recommended adding,sony
itsd,recommended adding,fujitsu
itsd,recommended adding,nec
cits,continued to assert,three major brands of computers
cits,sought only,three major brands of computers
cits,agreed,expanding the field
mr cabrera,issued,bid amendment notification
bid amendment notification,corrected,anticipated quantity of the computers sought
bid amendment notification,clarified,only compaq dell ibm toshiba sony fujitsu and nec brands
audit report,dated,26-Jan-06
audit report,raised,matters
mr walter cabrera,is,procurement officer
procurement officer,works at,headquarters procurement section
procurement task force,concerning,united nations staff member walter cabrera
procurement task force,was created on,january 12 2006
procurement task force,address,procurement matters
procurement matters,referred to,office of internal oversight services oios
creation of the task force,was the result of,perceived problems in procurement
perceived problems in procurement,identified by,independent inquiry committee into the oil for food programme iic
un procurement officer,is,alexander yakovlev
alexander yakovlev,was,arrested and convicted
task force,operates as part of,oios
task force,reports directly to,under secretary general of oios
task force,investigates,open and pending procurement cases
task force,includes,review in some procurement matters
task force,investigations have focused upon,individuals and vendors
individuals and vendors,doing business with,un
task force,has referred,more than 200 matters
more than 200 matters,involving,numerous procurement cases
numerous procurement cases,in,various un missions
numerous procurement cases,in,un headquarters
task force,will report on,matters individually
task force,has given priority to,matters involving eight staff members
eight staff members,placed on,special leave with pay
walter cabrera,is,united nations procurement officer
walter cabrera,provided notification to,thunderbird llc
thunderbird llc,was granted approval for,contract to provide manpower support
walter cabrera,engaged in misconduct in connection with,procurement exercises
procurement exercises,resulted in contracts awarded to,telecommunications consultants of india
audit report,found,significant fraud indicators
task force,agrees with,audit report
task force,will report on,issues
report,is focused on,conduct of mr cabrera
mr cabrera,acted improperly in,participation in these matters
mr bahel,involvement,thunderbird
thunderbird,received,advanced notice
mr bahel,associated with,request for expedited approval
expedited approval,needed for,thunderbird
hcc secretary,is,mr bahel
hcc meeting,granted,iecs
iecs,received,extension
thunderbird,failed to submit,audited financial statements
thunderbird,was given,additional four weeks
mr bahel,effort to notify,thunderbird
thunderbird,application was,not yet complete
hcc meeting,pending,minutes
hcc,issued,one page form
one page form,granted,expedited approval
expedited approval,for,current contractor
expedited approval,for,replacement thunderbird
task force,investigation,circumstances surrounding the creation of this form
task force,has,no evidence
mr cabrera,participated in,this aspect of the matter
Mr. Bahel,scheduled to leave,New York
Mr. Bahel,convened a meeting with,Ms. Jane Redfern
Ms. Jane Redfern,is a,UN Procurement Officer
Mr. Bahel,convened a meeting with,Mr. Walter Cabrera
Mr. Bahel,instructed,Ms. Jane Redfern
Mr. Bahel,instructed,Mr. Walter Cabrera
Mr. Walter Cabrera,notified,Thunderbird
Mr. Walter Cabrera,understood that he was not able to provide,Letter of Intent (LOI)
Mr. Walter Cabrera,gave,verbal notification
Mr. Walter Cabrera,notified,Mr. Nishan Kohli
HCC,recommended that the contract be awarded to,Thunderbird
Thunderbird,would likely receive,the contract
Mr. Kohli,submitted written explanation to,the organization
Mr. Kohli,through,his attorney
Task Force,does not find,Mr. Kohli's representations credible
Sanjaya Bahel,recommended,TCIL
TCIL,awarded,systems contract
systems contract,amount,US5340000
HCC officials,questioned,basis for limiting the bidding exercise
HCC,stated,imminent loss of funds
HCC,would have recommended,rebidding exercise
rebidding exercise,inviting,all brands of laptops
DPKO officials,questioned,limitation of the resolicitation
PD,violated,UN rules and regulations
PD,used,brand names in ITB email communication
proposed contract award,approved,TCIL
proposed contract award,signed,TCIL
mr cabrera,maintained a dialogue with,dpko
mr cabrera,was involved in the decision,task force
mr cabrera,sought to cancel,the bid
sanjaya bahel,was involved in,the matter
sanjaya bahel,communicated with,itsd officials
sanjaya bahel,communicated with,dpko officials
dpko official,had conversations with,mr bahel
mr bahel,confirmed that,pd was of the view
pd,had a view that,there was a technical issue with lacrestas bid
there,should be,a new bidding exercise
mr cabrera,is related to,the facts of this matter
thunderbird llc,submitted an application,the organization
thunderbird,is represented by,mr nishan kohli
mr nishan kohli,is the managing partner of,thunderbird
thunderbird,was registered by,pd
thunderbird,submitted a proposal for,the supply of engineering manpower
the supply of engineering manpower,is for,various un missions
the procurement department,issued,the rfp
mr sanjaya bahel,is the chief of,field procurement
mr sanjaya bahel,made a presentation to,the headquarters committee on contracts
the headquarters committee on contracts,is abbreviated as,hcc
the matter,was assigned to,mr cabrera
mr cabrera,was involved in,the case
procurement department,concede,contract
procurement department,not justify,la cresta
la cresta,not informed,cancellation
case officer,maintains responsibility,communicating cancellation
procurement,notifying,vendor
dpko official,informed,task force
dpko official,conversations with,pd
pd,expressed view,issue with lacresta's submission
procurement department,suggested,rebid
dpko official,objected,rebid
pd,prerogative,cancel bid
dpko,found,la cresta
la cresta,compliant,bid
la cresta,lowest bidder,bid
mr cabrera,agrees,reasoning proffered by pd
mr cabrera,takes issue with,claim participation
european aeronautic defense and space corporation eads,efforts to win,tanker aircraft contract
us military,contract with,tanker aircraft
vimont,revealed,deal
levitte,expected to put,labeling dispute
pernod ricard,world's second largest spirits group,labeling dispute
sarkozy,spoke to,company's chairman
company's chairman,asked,president
patrick ricard,is said to be,sarkozy's wealthy backers
vimont,characterized,issue
issue,is a very political matter in,us
sarkozy,intends to broach,issue
levitte,will talk to,us president's economic adviser
levitte,will talk to,deputy national security adviser
levitte,expected,two leaders to discuss
two leaders,to discuss,other pressing subjects
two leaders,to discuss,iran
two leaders,to discuss,middle east peace process
two leaders,to discuss,afghanistan
two leaders,to discuss,pakistan
two leaders,to discuss,yemen
two leaders,to discuss,somalia
two leaders,to discuss,sahel
two leaders,to discuss,russia
two leaders,to discuss,china
two leaders,to discuss,turkey
two leaders,to discuss,climate change
two leaders,to discuss,financial situation of several european countries
French President Sarkozy,intends to raise,sensitive topics
French President Sarkozy,meets,US President
French Ambassador Pierre Vimont,exchanges with,Sarkozy's diplomatic advisor Jean-David Levitte
Pierre Vimont,conveyed that,French President will express frustration
Washington,backed away from,proposed bilateral intelligence cooperation agreement
Sarkozy,intends to push for,closure
Vimont,understands,main sticking point
US,desires to continue,spying on France
Sarkozy,is ready to authorize,more military trainers
Sarkozy,wants clarification on,how many military trainers are needed
US sources,provide,conflicting figures
us national security agency,report on,signals intelligence intercepts
signals intelligence intercepts,highlights from,french government communications
french ambassador in washington dc,communicates with,french president nicolas sarkozy
french president nicolas sarkozy,has,diplomatic advisor jeandavid levitte
jeandavid levitte,advises,french president nicolas sarkozy
french president nicolas sarkozy,intends to raise topics with,us president barack obama
us president barack obama,meets with,french president nicolas sarkozy
french president nicolas sarkozy,expresses frustration about,bilateral intelligence cooperation agreement
bilateral intelligence cooperation agreement,restricts,us ability to continue spying on france
french commitment,involves,military trainers to afghanistan
european aeronautic defence and space corporation,contracts with,us military
french spirits company,is,pernod ricard
pernod ricard,involved in,trademark dispute
audit report,dated,28-Feb-03
audit report,into,financial statements of Pristina International Airport
chartered accountants,conducted,audit report
audit report,led to,investigation
investigation,concerning,alleged corruption and irregularities
alleged corruption and irregularities,arising in,procurements and contracts at Pristina International Airport
single source contract,added,one month after main contract
main contract,for,supply of two new containers
main contract,for,dismantling transport and reconstruction of a further seven containers
investigation,conducted pursuant to,executive decision no 200316
executive decision no 200316,on,establishment of the investigation task force
ITF investigators,conducted,enquiry into allegations
enquiry,by,interviews with persons indicated to be witnesses
enquiry,by,persons potentially implicated in the allegations
documents,obtained from,Pristina Airport administration
documents,obtained from,Pillar IV
documents,analysed for relevance to,inquiry at hand
Pristina International Airport,constitutes,state owned enterprise
Pristina International Airport,includes,runways
Pristina International Airport,includes,terminal buildings
Pristina International Airport,includes,hanger
Pristina International Airport,includes,fuel storage facilities
Pristina International Airport,includes,equipment
Public Enterprise Airport Pristina (PEAP),maintained by,military units of the Kosovo Force (KFOR)
United Nations Security Council Resolution 1244,dated,10-Jun-99
UNMIK Regulation No 11999,dated,25-Jul-99
UNMIK,mandated to administer,territory of Kosovo
UNMIK,includes,Pristina International Airport
Responsibility for the administration of the airport,passed from,Pillar II
Responsibility for the administration of the airport,passed to,Kosovo Trust Agency (KTA)
KTA Divisional Manager,was appointed to,airport sector KTA
KTA Divisional Manager,was under,PEAP official
KTA Divisional Manager,was under,Acts official
Pristina International Airport,was handed over to,civilian jurisdiction
Civilian jurisdiction,under,ICAO regulations
Pristina International Airport,constitutes,state owned enterprise
Pristina International Airport,includes,runways
Pristina International Airport,includes,terminal buildings
Pristina International Airport,includes,hanger
Pristina International Airport,includes,fuel storage facilities
Pristina International Airport,includes,equipment
Public Enterprise Airport Pristina (PEAP),maintained by,military units of the Kosovo Force (KFOR)
United Nations Security Council Resolution 1244,dated,10-Jun-99
UNMIK Regulation No 11999,dated,25-Jul-99
